ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
35,1,07/09/2014 21:38,07/09/2014 21:38,,8notabilityforiPad,,inherit,open,open,,8notabilityforipad,,,07/09/2014 21:38,07/09/2014 21:38,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/8notabilityforiPad-1o97vaj.jpg,0,attachment,image/jpeg,0
36,1,07/09/2014 21:47,07/09/2014 21:47,,9overdriveforiPad,,inherit,open,open,,9overdriveforipad,,,07/09/2014 21:47,07/09/2014 21:47,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/9overdriveforiPad-1nud3b4.jpg,0,attachment,image/jpeg,0
37,1,07/09/2014 21:57,07/09/2014 21:57,,10scribdforiPad,,inherit,open,open,,10scribdforipad,,,07/09/2014 21:57,07/09/2014 21:57,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/10scribdforiPad-28x0gta.jpg,0,attachment,image/jpeg,0
40,1,07/09/2014 22:10,07/09/2014 22:10,,ADJUSTMENT_BUREAU_BD_VFX_03,,inherit,open,open,,adjustment_bureau_bd_vfx_03,,,07/09/2014 22:10,07/09/2014 22:10,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/ADJUSTMENT_BUREAU_BD_VFX_03-1l0u5qx.jpg,0,attachment,image/jpeg,0
45,1,09/09/2014 07:10,09/09/2014 07:10,,asphalt_book,,inherit,open,open,,asphalt_book,,,09/09/2014 07:10,09/09/2014 07:10,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/asphalt_book-1gaj9no.jpg,0,attachment,image/jpeg,0
47,1,09/09/2014 07:12,09/09/2014 07:12,,asphalt_book_cropped,,inherit,open,open,,asphalt_book-copy,,,09/09/2014 07:12,09/09/2014 07:12,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/asphalt_book-copy-23g1e4c.jpg,0,attachment,image/jpeg,0
51,1,10/09/2014 11:19,10/09/2014 11:19,,mercury web browser reader mode,This screenshot shows the reader mode adjustments which are available when you turn a page to reader mode. You can save pages to PDF with these settings.,inherit,open,open,,img_0015,,,10/09/2014 11:19,10/09/2014 11:19,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/IMG_0015-1g959ba.jpg,0,attachment,image/jpeg,0
75,1,28/09/2014 19:12,28/09/2014 19:12,,filemanagementiAnnotatePDF,,inherit,open,open,,filemanagementiannotatepdf,,,28/09/2014 19:12,28/09/2014 19:12,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/filemanagementiAnnotatePDF-2dgm3on.jpg,0,attachment,image/jpeg,0
76,1,28/09/2014 19:17,28/09/2014 19:17,,penultimate_wrist,Penultimate - the effect of wrist shown. Also shown the excellent Cornell Notes template from ,inherit,open,open,,penultimate_wrist,,,28/09/2014 19:17,28/09/2014 19:17,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/penultimate_wrist-183un00.jpg,0,attachment,image/jpeg,0
77,1,28/09/2014 19:21,28/09/2014 19:21,,NotesPlus_Backgroundcolours,Notes Plus - the myriad of background colour and template options available in Notes Plus.,inherit,open,open,,notesplus_backgroundcolours,,,28/09/2014 19:21,28/09/2014 19:21,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/NotesPlus_Backgroundcolours-2k8wz3p.jpg,0,attachment,image/jpeg,0
78,1,28/09/2014 19:27,28/09/2014 19:27,,iAnnotatePDF_wristguard,"iAnnotatePDF - this is a pretty typical wristguard which you can adjust downward as you fill the page. A simple thing, but important.",inherit,open,open,,iannotatepdf_wristguard,,,28/09/2014 19:27,28/09/2014 19:27,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/iAnnotatePDF_wristguard-15uevmj.jpg,0,attachment,image/jpeg,0
79,1,28/09/2014 19:33,28/09/2014 19:33,,NotesPlus_closeup,Also shows the excellent Ink customisation options.,inherit,open,open,,notesplus_closeup,,,28/09/2014 19:33,28/09/2014 19:33,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/NotesPlus_closeup-28urc98.jpg,0,attachment,image/jpeg,0
80,1,28/09/2014 19:38,28/09/2014 19:38,,Notability_closeup,Notability - close-up writing mode. Both Notes Plus and Notability have great navigation tools within the close-up pane.,inherit,open,open,,notability_closeup,,,28/09/2014 19:38,28/09/2014 19:38,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/Notability_closeup-2aso0t3.jpg,0,attachment,image/jpeg,0
81,1,28/09/2014 19:43,28/09/2014 19:43,,NotesPlus_convert1,,inherit,open,open,,notesplus_convert1,,,28/09/2014 19:43,28/09/2014 19:43,,0,http://www.fionamacneill.co.uk/blog-archive/wp-content/uploads/2014/09/NotesPlus_convert1-1kwmxrr.jpg,0,attachment,image/jpeg,0
